segment_index,start,end,duration,active_gateway_count,active_region_count,covered_region_count,active_weight,covered_weight,normalized_coverage
576,37740.0,37800.0,60.0,2,0,0,0.0,0.0,
577,37800.0,37860.0,60.0,2,0,0,0.0,0.0,
578,37860.0,37920.0,60.0,2,0,0,0.0,0.0,
579,37920.0,37946.455,26.455000000001746,2,0,0,0.0,0.0,
580,37946.455,37980.0,33.544999999998254,1,0,0,0.0,0.0,
581,37980.0,38040.0,60.0,1,0,0,0.0,0.0,
582,38040.0,38100.0,60.0,1,0,0,0.0,0.0,
583,38100.0,38160.0,60.0,1,0,0,0.0,0.0,
584,38160.0,38220.0,60.0,1,0,0,0.0,0.0,
585,38220.0,38280.0,60.0,1,0,0,0.0,0.0,
586,38280.0,38340.0,60.0,1,1,0,0.2,0.0,0.0
587,38340.0,38400.0,60.0,1,1,0,0.2,0.0,0.0
588,38400.0,38460.0,60.0,1,1,0,0.2,0.0,0.0
589,38460.0,38520.0,60.0,1,0,0,0.0,0.0,
590,38520.0,38640.0,120.0,1,0,0,0.0,0.0,
591,38640.0,38700.0,60.0,1,0,0,0.0,0.0,
592,38700.0,38760.0,60.0,1,0,0,0.0,0.0,
593,38760.0,38820.0,60.0,1,0,0,0.0,0.0,
594,38820.0,38880.0,60.0,1,0,0,0.0,0.0,
595,38880.0,38940.0,60.0,1,1,0,0.2,0.0,0.0
596,38940.0,39000.0,60.0,1,1,0,0.2,0.0,0.0
597,39000.0,39060.0,60.0,1,1,0,0.2,0.0,0.0
598,39060.0,39120.0,60.0,1,1,0,0.2,0.0,0.0
599,39120.0,39180.0,60.0,1,1,1,0.35,0.35,1.0
600,39180.0,39240.0,60.0,1,1,1,0.35,0.35,1.0
601,39240.0,39300.0,60.0,1,1,1,0.35,0.35,1.0
602,39300.0,39360.0,60.0,1,0,0,0.0,0.0,
603,39360.0,39420.0,60.0,1,0,0,0.0,0.0,
604,39420.0,39480.0,60.0,1,0,0,0.0,0.0,
605,39480.0,39540.0,60.0,1,1,0,0.2,0.0,0.0
606,39540.0,39600.0,60.0,1,1,0,0.2,0.0,0.0
607,39600.0,39660.0,60.0,1,1,0,0.2,0.0,0.0
608,39660.0,39720.0,60.0,1,1,0,0.2,0.0,0.0
609,39720.0,39780.0,60.0,1,1,1,0.35,0.35,1.0
610,39780.0,39900.0,120.0,1,1,1,0.35,0.35,1.0
611,39900.0,39960.0,60.0,1,1,1,0.35,0.35,1.0
612,39960.0,40020.0,60.0,1,0,0,0.0,0.0,
613,40020.0,40080.0,60.0,1,0,0,0.0,0.0,
614,40080.0,40140.0,60.0,1,0,0,0.0,0.0,
615,40140.0,40200.0,60.0,1,1,1,0.2,0.2,1.0
616,40200.0,40260.0,60.0,1,1,1,0.2,0.2,1.0
617,40260.0,40320.0,60.0,1,2,2,0.4,0.4,1.0
618,40320.0,40380.0,60.0,1,3,3,0.75,0.75,1.0
619,40380.0,40440.0,60.0,1,2,2,0.55,0.55,1.0
620,40440.0,40500.0,60.0,1,1,1,0.35,0.35,1.0
621,40500.0,40560.0,60.0,1,1,1,0.35,0.35,1.0
622,40560.0,40620.0,60.0,1,1,1,0.35,0.35,1.0
623,40620.0,40680.0,60.0,1,0,0,0.0,0.0,
624,40680.0,40740.0,60.0,1,0,0,0.0,0.0,
625,40740.0,40800.0,60.0,1,2,2,0.45,0.45,1.0
626,40800.0,40860.0,60.0,1,1,1,0.2,0.2,1.0
627,40860.0,40920.0,60.0,1,2,2,0.4,0.4,1.0
628,40920.0,40980.0,60.0,1,2,2,0.4,0.4,1.0
629,40980.0,41040.0,60.0,1,2,2,0.55,0.55,1.0
630,41040.0,41160.0,120.0,1,2,2,0.55,0.55,1.0
631,41160.0,41220.0,60.0,1,1,1,0.35,0.35,1.0
632,41220.0,41280.0,60.0,1,0,0,0.0,0.0,
633,41280.0,41340.0,60.0,1,0,0,0.0,0.0,
634,41340.0,41400.0,60.0,1,1,1,0.25,0.25,1.0
635,41400.0,41460.0,60.0,1,2,2,0.45,0.45,1.0
636,41460.0,41520.0,60.0,1,3,3,0.65,0.65,1.0
637,41520.0,41580.0,60.0,1,2,2,0.4,0.4,1.0
638,41580.0,41640.0,60.0,1,2,2,0.55,0.55,1.0
639,41640.0,41700.0,60.0,1,2,2,0.55,0.55,1.0
640,41700.0,41760.0,60.0,1,2,2,0.55,0.55,1.0
641,41760.0,41880.0,120.0,1,1,1,0.35,0.35,1.0
642,41880.0,41940.0,60.0,1,0,0,0.0,0.0,
643,41940.0,42000.0,60.0,1,1,1,0.25,0.25,1.0
644,42000.0,42060.0,60.0,1,1,1,0.25,0.25,1.0
645,42060.0,42120.0,60.0,1,2,2,0.45,0.45,1.0
646,42120.0,42180.0,60.0,1,3,3,0.65,0.65,1.0
647,42180.0,42240.0,60.0,1,1,1,0.2,0.2,1.0
648,42240.0,42300.0,60.0,1,2,2,0.55,0.55,1.0
649,42300.0,42360.0,60.0,1,2,2,0.55,0.55,1.0
650,42360.0,42420.0,60.0,1,1,1,0.35,0.35,1.0
651,42420.0,42480.0,60.0,1,0,0,0.0,0.0,
652,42480.0,42540.0,60.0,1,0,0,0.0,0.0,
653,42540.0,42600.0,60.0,1,1,1,0.25,0.25,1.0
654,42600.0,42660.0,60.0,1,1,1,0.25,0.25,1.0
655,42660.0,42720.0,60.0,1,1,1,0.25,0.25,1.0
656,42720.0,42780.0,60.0,1,2,2,0.45,0.45,1.0
657,42780.0,42840.0,60.0,1,1,1,0.2,0.2,1.0
658,42840.0,42900.0,60.0,1,1,1,0.2,0.2,1.0
659,42900.0,42960.0,60.0,1,2,2,0.55,0.55,1.0
660,42960.0,43019.178,59.177999999999884,1,2,2,0.55,0.55,1.0
661,43019.178,43020.0,0.8220000000001164,0,2,0,0.55,0.0,0.0
662,43020.0,43140.0,120.0,0,0,0,0.0,0.0,
663,43140.0,43200.0,60.0,0,1,0,0.25,0.0,0.0
